,track_id,track_popularity,track_album_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_date_converted,playlist_count_per_song,duration_minutes,playlist_genre_count_per_song,track_artist_na,track_album_release_date_na,danceability_na,energy_na,loudness_na,speechiness_na,acousticness_na,track_album_release_year,track_album_release_month,language_category,track_artist_type
11618,4p0uyibzjcxzlvenohbd8q,47,632b0oxufpsta4do2cukdg,0.669,0.7347140853536365,8,-9.646,1,0.0244,0.09201242508262543,9.509954780171542e-06,0.0879,0.302,103.548,1986-06-09,1,4.97,1,0,0,0,1,0,0,1,1986,6,Not English,Male
11619,0bkukbj1nealt9upkfp3vc,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.865,6,-9.196,1,0.0563,0.00562,0.0,0.964,0.754,181.243,2005-01-01,1,4.13,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11620,5cnom4unkknqtho7sp5ega,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.839,2,-9.793,1,0.0526,0.0307,0.0,0.945,0.407,128.069,2005-01-01,1,7.12,1,0,0,1,0,0,0,0,2005,1,English,Male
11621,4wucvuic3ljcsjrhwgz6m6,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.943,9,-8.97,1,0.0851,0.0285,3.169949756569697e-05,0.952,0.291,185.577,2005-01-01,1,3.93,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11622,2dqhedglrndz8s94q9ouif,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.919,5,-9.307,1,0.0902,0.0484,1.2299992436248475e-06,0.97,0.438,184.073,2005-01-01,1,2.89,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11623,3ocsljx3a7ha50zjyt5cwv,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.928,2,-9.91,1,0.0502,0.0097,0.0005058720251682521,0.951,0.357,135.163,2005-01-01,1,3.99,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11624,2foxo0dqmh32e28iyvjvzj,0,5fstcqs5npilf42vhpnv23,0.495,0.946,9,-8.804,1,0.0613,0.022,0.0,0.835,0.417,111.666,2005-01-01,1,3.42,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11625,7k6ntkoyptat1c665s5lmj,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.515,5,-6.1344981830618615,1,0.039,0.0978,0.0,0.489,0.497,121.176,2005-01-01,1,2.04,1,0,0,1,0,1,0,0,2005,1,Not English,Male
11626,1odyplxqhn8892ycf9csyf,0,5fstcqs5npilf42vhpnv23,0.57,0.639,0,-10.002,1,0.0386,0.0827,0.0,0.94,0.39,126.559,2005-01-01,1,4.01,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11627,21w8a3ihseicrjopn1lz5f,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.716,5,-6.1344981830618615,1,0.0436,0.0867,1.0399994590970541e-06,0.954,0.572,85.057,2005-01-01,1,3.96,1,0,0,1,0,1,0,0,2005,1,Not English,Male
11628,3a47k5x3bnxyuiqtssm358,0,5fstcqs5npilf42vhpnv23,0.557,0.966,6,-8.704,1,0.0639,0.0121,3.94999219874535e-06,0.435,0.613,132.038,2005-01-01,1,3.92,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11629,24pgfezbucv40iqko3rkkr,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.947,10,-7.933,0,0.0959,0.0139,3.37994287928439e-05,0.975,0.439,183.891,2005-01-01,1,4.86,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11630,1rlwpjumnvkj5vbhhfth1j,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.71,9,-6.1344981830618615,0,0.037,0.0136,0.0,0.948,0.464,99.55,2005-01-01,1,4.63,1,0,0,1,0,1,0,0,2005,1,Not English,Male
11631,2vtc4gczcmpojflo8hejit,0,5fstcqs5npilf42vhpnv23,0.551,0.866,11,-6.1344981830618615,1,0.101,0.0677,1.5999987200473743e-06,0.55,0.42,91.629,2005-01-01,1,3.74,1,0,0,0,0,1,0,0,2005,1,Not English,Male
11632,40dlqgmaststnt06ayjla9,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.913,11,-6.1344981830618615,0,0.0786,0.00173,0.003912336819915548,0.947,0.335,100.441,2005-01-01,1,8.37,1,0,0,1,0,1,0,0,2005,1,Not English,Male
11633,3m9wvp2rdxs4b6a2hzjqzz,0,5fstcqs5npilf42vhpnv23,0.572,0.77,10,-9.878,1,0.0355,0.0784,0.0,0.338,0.637,98.914,2005-01-01,1,1.56,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11634,0epssajtqp1otqtrx2puz1,0,5fstcqs5npilf42vhpnv23,0.528,0.893,8,-9.547,1,0.0343,0.00341,5.429985257687346e-06,0.911,0.687,90.176,2005-01-01,1,2.94,1,0,0,0,0,0,0,0,2005,1,English,Male
11635,3zwgkklcfc6duwv8ab2vav,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.923,10,-9.439,0,0.085,0.00255,0.0012592068661625548,0.733,0.424,169.719,2005-01-01,1,6.31,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11636,1mj7rqgu2httdhkd90nnds,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.7347140853536365,0,-6.1344981830618615,1,0.0392,0.28,0.521765563804325,0.576,0.073,63.248,2005-01-01,1,2.36,1,0,0,1,1,1,0,0,2005,1,Not English,Male
11637,4zqtsdzqgodryotrqkbved,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.65,2,-6.1344981830618615,1,0.0404,0.0254,0.0,0.815,0.503,82.536,2005-01-01,1,5.04,1,0,0,1,0,1,0,0,2005,1,Not English,Male
11638,6aseqce2vfsvdsgckxsso8,0,5fstcqs5npilf42vhpnv23,0.473,0.896,10,-9.685,1,0.0449,0.0125,0.0,0.793,0.783,95.689,2005-01-01,1,1.17,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11639,0hyw8jqdgqs1rboobsiv4d,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.717,0,-9.784,1,0.0295,0.00348,0.0002499687552074404,0.782,0.512,144.806,2005-01-01,1,3.01,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11640,4eha21wr2epdzva3lg0yok,0,5fstcqs5npilf42vhpnv23,0.545,0.877,0,-9.423,1,0.0363,0.0656,1.169993155548173e-05,0.516,0.961,139.999,2005-01-01,1,1.63,1,0,0,0,0,0,0,0,2005,1,Not English,Male
11641,2telowf7pdkzlijhxd5p5t,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.902,2,-9.366,1,0.0707,0.011,0.0013690624062380357,0.331,0.406,156.337,2005-01-01,1,0.89,1,0,0,1,0,0,0,0,2005,1,Not English,Male
11642,4jhdcxmiq6cpzmequyy7cd,0,5fstcqs5npilf42vhpnv23,0.6721834617664493,0.907,11,-9.67,0,0.0395,0.0279,0.0015487999898503926,0.488,0.52,155.049,2005-01-01,1,2.73,1,0,0,1,0,0,0,0,2005,1,Not English,Male
